Time,Y,P,I,OIL,Y_UK,P_UK,NEER_UK,I_UK,dummy_20q2,dummy_20q3,dummy_21q2
2012-Q4,-0.115969755,0.882434607,0.316995181,0.443214304,-0.09912058,1.130168174,-0.518921312,-4.55,0,0,0
2013-Q1,0.470426163,0.905656269,0.291669545,2.202972912,0.33309212,0.759001276,-3.9245503,-4.82,0,0,0
2013-Q2,1.436987556,0.522903624,0.275017302,-8.744802495,0.6714079,0.306403866,0.060658896,-2.99,0,0,0
2013-Q3,1.073724207,1.021700618,0.261385473,6.889700076,0.8268308,0.51172293,0.976228256,-1.62,0,0,0
2013-Q4,0.603362166,0.86283636,0.241302652,-0.639717592,0.66750418,0.488364494,2.930606421,-0.81,0,0,0
2014-Q1,1.029222822,0.71487664,0.235843222,-1.340995585,0.8138852,0.465703537,2.550784906,-0.44,0,0,0
2014-Q2,1.373353513,0.92433901,0.228176746,1.739100893,0.928935,0.297602596,1.47202134,0.21,0,0,0
2014-Q3,1.214149,0.780257849,0.234285244,-7.035902604,0.780039011,0.178230218,1.216475649,0.26,0,0,0
2014-Q4,0.675924485,0.502468639,0.23628191,-25.59118395,0.6962998,-0.04734958,-0.796629593,0.06,0,0,0
2015-Q1,1.069083959,0.604309075,0.260345592,-28.84615216,0.26972318,-0.317376041,2.309573957,0.1,0,0,0
2015-Q2,1.488931977,1.055401973,0.279402735,14.89965073,0.6189932,0.168103859,2.083179286,0.28,0,0,0
2015-Q3,-0.146371943,0.706245628,0.31419281,-19.43259358,0.37770246,0.221782483,2.200186036,0.18,0,0,0
2015-Q4,1.096846187,0.488871803,0.408522078,-13.21274264,0.562247319,0.019993327,-0.795505674,0.31,0,0,0
2016-Q1,-0.152818485,0.607246421,0.624757183,-20.87363324,0.35324564,-0.075519012,-5.427102216,-0.3,0,0,0
2016-Q2,0.952167381,0.909147278,0.643047652,33.74883456,0.56420334,0.177236066,-1.745056154,-0.77,0,0,0
2016-Q3,0.589261227,0.607641451,0.785404387,-0.329396916,0.423906765,0.575760921,-8.037612248,-2.15,0,0,0
2016-Q4,1.966436879,0.63338846,0.920825149,9.337362331,0.61789928,0.512327099,-2.917711614,-0.91,0,0,0
2017-Q1,0.882476055,0.760586538,1.068334134,8.067891513,0.83921992,0.884227255,0.505528844,-0.97,0,0,0
2017-Q2,3.083937675,0.498324128,1.202429875,-7.738738938,0.6313686,0.761297374,1.104732761,-0.61,0,0,0
2017-Q3,-0.638855094,0.596279524,1.31499513,5.168302557,0.63275691,0.622159148,-1.640843789,0.23,0,0,0
2017-Q4,2.470008094,0.798359985,1.465583126,17.80335947,0.73675869,0.716687587,1.553228241,0.38,0,0,0
2018-Q1,0.663744262,0.784585986,1.927333509,7.992823168,0.0641495,0.583004654,1.646907354,0.56,0,0,0
2018-Q2,0.861552553,0.692883851,2.338432952,11.67669167,0.163155,0.485925717,0.213150696,0.5,0,0,0
2018-Q3,0.501722907,0.986228786,2.337373394,0.61562039,0.30899593,0.699460629,-1.473506223,0.71,0,0,0
2018-Q4,0.986089009,0.738651057,2.632517573,-9.938930487,0.13581496,0.472862476,0.122178575,0.64,0,0,0
2019-Q1,-0.525486517,0.419699839,2.685510163,-6.478220812,0.729752441,0.170225339,0.897879066,0.54,0,0,0
2019-Q2,2.101444563,1.00332906,2.506238984,10.27302538,0.3117398,0.66681077,-0.421862206,0.58,0,0,0
2019-Q3,-0.848531539,0.732226621,2.194543513,-10.89091456,0.70908304,0.534354371,-3.324983767,0.6,0,0,0
2019-Q4,1.071877624,1.153688384,1.929936903,3.621981021,0.000321944,0.022997506,4.711239825,0.65,0,0,0
2020-Q1,-3.181804339,0.712995133,1.533673152,-20.91523618,-2.65763511,0.412176507,-0.040073858,-0.1,0,0,0
2020-Q2,-16.47095609,-0.289418137,0.60136103,-45.4054677,-20.331757,-0.289121628,-1.88391012,-1.15,1,0,0
2020-Q3,11.56031765,0.852189278,0.25247185,55.88126671,16.787921,0.485928604,0.150911175,-1.73,0,1,0
2020-Q4,5.688986821,0.636630551,0.225292704,1.554152264,1.3667515,-0.028107471,0.524842786,-2.2,0,0,0
2021-Q1,1.953082648,1.119574917,0.201202564,38.8448783,-1.0392083,0.467844142,3.336242105,-0.88,0,0,0
2021-Q2,1.930638966,1.125361896,0.156819416,13.06707683,7.25393375,1.084681853,1.559405537,-0.76,0,0,1
2021-Q3,1.656772745,1.134042973,0.126009697,7.237951632,1.66943915,1.229623423,0.01447933,0.15,0,0,0
2021-Q4,4.407665287,1.859021259,0.164231458,8.190569561,1.4839331,2.021720346,-0.139846515,0.68,0,0,0
2022-Q1,0.796357599,2.398481039,0.508510347,29.11761961,0.72959628,1.713716647,0.941857267,1.51,0,0,0
2022-Q2,1.623109062,2.782406373,1.511764625,11.45275948,0.33521471,3.896573851,-2.830446041,2.23,0,0,0
2022-Q3,1.076849984,1.555760323,3.00398414,-8.545692123,0.1138995,2.053791053,-2.388933282,4.8,0,0,0
2022-Q4,-1.070921728,1.406405638,4.509661753,-14.28913028,0.32706886,2.700251682,-0.058511691,4.35,0,0,0
2023-Q1,-0.109357352,1.116887344,4.914915729,-9.426481246,0.08958369,1.17261344,0.131775086,4.42,0,0,0
2023-Q2,0.060155772,1.01589354,5.385191242,-2.990021629,0.001890919,2.24653537,2.951223558,5.85,0,0,0
2023-Q3,-0.189543608,1.765079417,5.62953568,9.884837031,-0.10525918,0.448047314,2.166086921,5.45,0,0,0
2023-Q4,0.624689341,1.200623682,5.642173874,-1.029787056,-0.3361432,0.249039707,-1.192117002,4.69,0,0,0
2024-Q1,0.329897788,1.552869364,5.580693768,-1.602366534,0.69592055,0.578378039,1.692372732,4.9,0,0,0
2024-Q2,0.911525605,1.188617271,5.59139568,0.848315888,0.45157194,0.816171513,0.539894035,4.91,0,0,0
2024-Q3,0.562988654,0.93013464,5.332687111,-4.920836501,,,,,0,0,0
2024-Q4,0.756733081,0.929404297,4.743877613,-6.083018867,,,,,0,0,0
2025-Q1,0.714268584,0.696205273,4.365163154,-2.716637607,,,,,0,0,0
2025-Q2,0.762725639,0.848033218,4.092119518,-0.828122132,,,,,0,0,0
2025-Q3,0.782055243,0.612846112,3.894904969,-0.570082195,,,,,0,0,0
2025-Q4,0.794309698,0.594942413,3.759560851,-0.584699751,,,,,0,0,0
2026-Q1,0.809684114,0.601506049,3.671409476,-0.671245137,,,,,0,0,0
2026-Q2,0.80527076,0.777606485,3.618507834,-0.352601528,,,,,0,0,0
2026-Q3,0.789226196,0.58264149,3.58997427,-0.38706582,,,,,0,0,0
2026-Q4,0.780397449,0.575278424,3.579258989,-0.153297518,,,,,0,0,0
2027-Q1,0.777250039,0.592359861,3.580512552,-0.239344308,,,,,0,0,0
2027-Q2,0.771600336,0.604759617,3.589138766,-0.078577971,,,,,0,0,0
2027-Q3,0.773133031,0.564844493,3.602045474,-0.082827681,,,,,0,0,0
2027-Q4,0.767209312,0.577846908,3.616729399,-0.147630003,,,,,0,0,0
